Product ID,Category,Sub-Category,Product Name
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-AR-10002375,Office Supplies,Art,Newell 351
OFF-AR-10003811,Office Supplies,Art,Newell 327
OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener
OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine
OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders
OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope
OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4"""
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems
TEC-PH-10001061,Technology,Phones,Apple iPhone 5C
FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle
FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear"
FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7"
FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright)
TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4"
OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
OFF-PA-10001804,Office Supplies,Paper,Xerox 195
FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories
FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack"
OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders
OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages"
OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream"
OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h"
TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410
TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount
FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table
OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils
OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
OFF-PA-10001204,Office Supplies,Paper,Xerox 1972
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish"
TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard
OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders
OFF-FA-10001843,Office Supplies,Fasteners,Staples
TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone
OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders
OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets"
OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers
OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book"
OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black"
OFF-LA-10002787,Office Supplies,Labels,Avery 480
TEC-PH-10001615,Technology,Phones,AT&T CL82213
TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone
OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers
TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs
FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown"
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle"
FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder
OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders
OFF-LA-10004853,Office Supplies,Labels,Avery 483
OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes
TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard
FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray"
OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector
OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”"
OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener
TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse
OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones
OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter"
OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters
OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors
FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size"
OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins
FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown"
OFF-PA-10003363,Office Supplies,Paper,Xerox 204
TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo
OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs
OFF-PA-10001800,Office Supplies,Paper,Xerox 220
OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs
OFF-LA-10004425,Office Supplies,Labels,Staple-on labels
OFF-PA-10000069,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack"
OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book"
OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame
FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases
OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth
OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book"
OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer
OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders
TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4
OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope
OFF-PA-10000327,Office Supplies,Paper,Xerox 1971
OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
TEC-AC-10004353,Technology,Accessories,Hypercom P1300 Pinpad
FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine
FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut"
OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator
OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters
OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips"
OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
OFF-LA-10000305,Office Supplies,Labels,Avery 495
OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins
TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger
OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip"
OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems
OFF-AR-10000588,Office Supplies,Art,Newell 345
OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs
OFF-PA-10001878,Office Supplies,Paper,Xerox 1891
OFF-SU-10000381,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles
TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930
FUR-CH-10002780,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black"
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
OFF-AR-10001427,Office Supplies,Art,Newell 330
OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts
OFF-ST-10000934,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System"
OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit"
OFF-AR-10001044,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black"
OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11"""
OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers
FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories
OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote"
OFF-AR-10001770,Office Supplies,Art,Economy #2 Pencils
OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins
OFF-PA-10000213,Office Supplies,Paper,Xerox 198
OFF-PA-10002137,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb."
TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs
TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp
FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs
OFF-AR-10003723,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers
OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs
OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11"""
OFF-PA-10000176,Office Supplies,Paper,Xerox 1887
OFF-PA-10001204,Office Supplies,Paper,Xerox 1972
OFF-PA-10001215,Office Supplies,Paper,Xerox 1963
OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black
OFF-ST-10003221,Office Supplies,Storage,Staple magnet
TEC-AC-10004877,Technology,Accessories,Imation 30456 USB Flash Drive 8GB
TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer
FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers
OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System
OFF-PA-10002120,Office Supplies,Paper,Xerox 1889
OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand"
TEC-PH-10002415,Technology,Phones,Polycom VoiceStation 500 Conference phone
FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer"
OFF-AP-10001154,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer
OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip
OFF-AR-10003732,Office Supplies,Art,Newell 333
OFF-AR-10003829,Office Supplies,Art,Newell 35
OFF-BI-10000136,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders
OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"
OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders
OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”"
OFF-PA-10000919,Office Supplies,Paper,Xerox 1918
OFF-PA-10002195,Office Supplies,Paper,Xerox 1966
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
OFF-PA-10002960,Office Supplies,Paper,Xerox 1926
OFF-PA-10003063,Office Supplies,Paper,EcoTones Memo Sheets
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
OFF-PA-10003641,Office Supplies,Paper,Xerox 1909
FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36"""
FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock"
FUR-FU-10004597,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets
OFF-AR-10003183,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set
OFF-FA-10003112,Office Supplies,Fasteners,Staples
OFF-PA-10001804,Office Supplies,Paper,Xerox 195
OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers
TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit
TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer
FUR-FU-10002508,Furniture,Furnishings,Document Clip Frames
FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories
OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black"
OFF-LA-10000443,Office Supplies,Labels,Avery 501
OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files
TEC-AC-10002647,Technology,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired"
TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System
FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy
FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame
OFF-AR-10001573,Office Supplies,Art,American Pencil
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue"
OFF-LA-10004409,Office Supplies,Labels,Avery 492
OFF-LA-10004544,Office Supplies,Labels,Avery 505
OFF-PA-10000675,Office Supplies,Paper,Xerox 1919
OFF-ST-10002301,Office Supplies,Storage,Tennsco Commercial Shelving
TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active
FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat
OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
OFF-PA-10002581,Office Supplies,Paper,Xerox 1951
OFF-LA-10004484,Office Supplies,Labels,Avery 476
OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files
TEC-PH-10003484,Technology,Phones,Ooma Telo VoIP Home Phone System
FUR-FU-10002813,Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size"
OFF-PA-10004948,Office Supplies,Paper,Xerox 190
FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack"
OFF-AR-10003338,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils"
OFF-AR-10003829,Office Supplies,Art,Newell 35
TEC-AC-10002558,Technology,Accessories,Imation Swivel Flash Drive USB flash drive - 8 GB
OFF-AR-10004272,Office Supplies,Art,Newell 308
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-LA-10001982,Office Supplies,Labels,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set
TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
TEC-PH-10004100,Technology,Phones,Griffin GC17055 Auxiliary Audio Cable
FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases
FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
TEC-PH-10003273,Technology,Phones,AT&T TR1909W
FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table
FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases
FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black"
OFF-AR-10001231,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2"
OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers
OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes
OFF-LA-10002312,Office Supplies,Labels,Avery 490
OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving
OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers
TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements
OFF-BI-10001636,Office Supplies,Binders,Ibico Plastic and Wire Spiral Binding Combs
OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings
OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders
OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine
TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver
OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2"""
OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets
OFF-LA-10002312,Office Supplies,Labels,Avery 490
OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub
FUR-FU-10003192,Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp
OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum
OFF-PA-10001593,Office Supplies,Paper,Xerox 1947
OFF-PA-10002986,Office Supplies,Paper,Xerox 1898
OFF-PA-10004248,Office Supplies,Paper,Xerox 1990
TEC-PH-10001128,Technology,Phones,Motorola Droid Maxx
OFF-EN-10001415,Office Supplies,Envelopes,Staple envelope
TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse
TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo
FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame
OFF-AR-10001955,Office Supplies,Art,Newell 319
OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders
OFF-LA-10001641,Office Supplies,Labels,Avery 518
OFF-PA-10002195,Office Supplies,Paper,Xerox 1966
OFF-PA-10003797,Office Supplies,Paper,Xerox 209
OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving
TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705
OFF-AR-10000127,Office Supplies,Art,Newell 321
OFF-AR-10002952,Office Supplies,Art,Stanley Contemporary Battery Pencil Sharpeners
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg"
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box"
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
OFF-ST-10001031,Office Supplies,Storage,Adjustable Personal File Tote
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener
TEC-PH-10001615,Technology,Phones,AT&T CL82213
FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets
FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base"
FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table
OFF-AR-10001725,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
OFF-BI-10003719,Office Supplies,Binders,Large Capacity Hanging Post Binders
OFF-PA-10001977,Office Supplies,Paper,Xerox 194
