Order ID,Order Date,Ship Date,Ship Mode,Customer ID
US-2023-147774,01/20/2023,01/26/2023,Standard Class,MM-18280
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-147627,01/20/2023,01/26/2023,Standard Class,HL-15040
US-2023-148614,01/20/2023,01/25/2023,Standard Class,MV-17485
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-167927,01/20/2023,01/26/2023,Standard Class,XP-21865
US-2023-147627,01/20/2023,01/26/2023,Standard Class,HL-15040
US-2023-110422,01/21/2023,01/23/2023,Second Class,TB-21400
CA-2023-115238,01/21/2023,01/24/2023,Standard Class,JW-15220
CA-2023-115238,01/21/2023,01/24/2023,Standard Class,JW-15220
CA-2023-115238,01/21/2023,01/24/2023,Standard Class,JW-15220
CA-2023-115238,01/21/2023,01/24/2023,Standard Class,JW-15220
CA-2023-115238,01/21/2023,01/24/2023,Standard Class,JW-15220
US-2023-146997,01/23/2023,01/27/2023,Standard Class,SG-20605
US-2023-102645,01/23/2023,01/28/2023,Standard Class,IM-15055
US-2023-167997,01/26/2023,01/29/2023,First Class,CA-11965
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-167997,01/26/2023,01/29/2023,First Class,CA-11965
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-155502,01/26/2023,01/31/2023,Standard Class,SD-20485
US-2023-117163,01/27/2023,02/02/2023,Standard Class,EJ-13720
US-2023-117163,01/27/2023,02/02/2023,Standard Class,EJ-13720
US-2023-117163,01/27/2023,02/02/2023,Standard Class,EJ-13720
US-2023-100328,01/28/2023,02/03/2023,Standard Class,JC-15340
US-2023-134103,01/30/2023,02/04/2023,Standard Class,MV-18190
US-2023-134103,01/30/2023,02/04/2023,Standard Class,MV-18190
US-2023-115161,01/31/2023,02/02/2023,First Class,LC-17050
US-2023-140795,02/01/2023,02/03/2023,First Class,BD-11500
US-2023-123400,02/02/2023,02/09/2023,Standard Class,EB-13930
US-2023-139857,02/02/2023,02/06/2023,Standard Class,CD-12790
US-2023-123400,02/02/2023,02/09/2023,Standard Class,EB-13930
US-2023-111059,02/03/2023,02/06/2023,Second Class,TB-21400
US-2023-111059,02/03/2023,02/06/2023,Second Class,TB-21400
US-2023-104808,02/04/2023,02/08/2023,Second Class,MH-17440
US-2023-107181,02/04/2023,02/08/2023,Standard Class,DB-13270
US-2023-107181,02/04/2023,02/08/2023,Standard Class,DB-13270
US-2023-108182,02/06/2023,02/10/2023,Second Class,DL-13315
US-2023-131905,02/06/2023,02/09/2023,First Class,ND-18460
US-2023-131905,02/06/2023,02/09/2023,First Class,ND-18460
US-2023-131905,02/06/2023,02/09/2023,First Class,ND-18460
US-2023-169390,02/07/2023,02/10/2023,Second Class,CS-12250
US-2023-107755,02/07/2023,02/12/2023,Standard Class,CK-12760
US-2023-125759,02/08/2023,02/09/2023,First Class,NM-18445
US-2023-168368,02/11/2023,02/15/2023,Second Class,GA-14725
US-2023-168368,02/11/2023,02/15/2023,Second Class,GA-14725
US-2023-127614,02/11/2023,02/15/2023,Standard Class,NF-18385
US-2023-127614,02/11/2023,02/15/2023,Standard Class,NF-18385
US-2023-168368,02/11/2023,02/15/2023,Second Class,GA-14725
US-2023-168368,02/11/2023,02/15/2023,Second Class,GA-14725
US-2023-168368,02/11/2023,02/15/2023,Second Class,GA-14725
US-2023-168368,02/11/2023,02/15/2023,Second Class,GA-14725
US-2023-127614,02/11/2023,02/15/2023,Standard Class,NF-18385
US-2023-110674,02/12/2023,02/18/2023,Standard Class,SC-20095
US-2023-121762,02/14/2023,02/18/2023,Standard Class,ML-17395
US-2023-107706,02/14/2023,02/19/2023,Second Class,ST-20530
US-2023-121762,02/14/2023,02/18/2023,Standard Class,ML-17395
US-2023-121762,02/14/2023,02/18/2023,Standard Class,ML-17395
US-2023-165568,02/15/2023,02/19/2023,Standard Class,BF-11020
US-2023-122567,02/16/2023,02/21/2023,Standard Class,MN-17935
US-2023-122567,02/16/2023,02/21/2023,Standard Class,MN-17935
US-2023-154165,02/17/2023,02/24/2023,Standard Class,DL-13315
US-2023-165589,02/18/2023,02/18/2023,Same Day,TB-21595
US-2023-152905,02/18/2023,02/24/2023,Standard Class,AB-10015
US-2023-109491,02/20/2023,02/26/2023,Standard Class,LC-16930
US-2023-164903,02/20/2023,02/24/2023,Standard Class,SR-20740
US-2023-109491,02/20/2023,02/26/2023,Standard Class,LC-16930
US-2023-165540,02/21/2023,02/25/2023,Standard Class,TM-21010
US-2023-133354,02/22/2023,02/24/2023,First Class,SA-20830
US-2023-103744,02/23/2023,02/27/2023,Standard Class,MG-17875
US-2023-103744,02/23/2023,02/27/2023,Standard Class,MG-17875
US-2023-137680,02/24/2023,03/02/2023,Standard Class,JH-15430
US-2023-137680,02/24/2023,03/02/2023,Standard Class,JH-15430
US-2023-156545,02/27/2023,03/03/2023,First Class,JS-16030
US-2023-113880,03/01/2023,03/05/2023,Standard Class,VF-21715
US-2023-131009,03/01/2023,03/05/2023,Standard Class,SC-20380
US-2023-104269,03/01/2023,03/06/2023,Second Class,DB-13060
US-2023-131009,03/01/2023,03/05/2023,Standard Class,SC-20380
US-2023-168312,03/01/2023,03/07/2023,Standard Class,GW-14605
US-2023-131009,03/01/2023,03/05/2023,Standard Class,SC-20380
US-2023-113880,03/01/2023,03/05/2023,Standard Class,VF-21715
US-2023-131009,03/01/2023,03/05/2023,Standard Class,SC-20380
US-2023-168312,03/01/2023,03/07/2023,Standard Class,GW-14605
US-2023-143707,03/01/2023,03/05/2023,Standard Class,HR-14770
US-2023-107524,03/02/2023,03/08/2023,Standard Class,KN-16705
US-2023-111157,03/02/2023,03/06/2023,Standard Class,NH-18610
US-2023-107524,03/02/2023,03/08/2023,Standard Class,KN-16705
US-2023-111157,03/02/2023,03/06/2023,Standard Class,NH-18610
US-2023-127978,03/03/2023,03/08/2023,Standard Class,JS-15595
US-2023-105648,03/03/2023,03/07/2023,Standard Class,EJ-14155
US-2023-130421,03/03/2023,03/07/2023,Standard Class,SC-20020
US-2023-155852,03/03/2023,03/07/2023,Second Class,AJ-10945
US-2023-127964,03/03/2023,03/08/2023,Standard Class,AP-10720
US-2023-127964,03/03/2023,03/08/2023,Standard Class,AP-10720
US-2023-127978,03/03/2023,03/08/2023,Standard Class,JS-15595
US-2023-127978,03/03/2023,03/08/2023,Standard Class,JS-15595
US-2023-127964,03/03/2023,03/08/2023,Standard Class,AP-10720
US-2023-117016,03/04/2023,03/09/2023,Standard Class,SC-20095
US-2023-116239,03/04/2023,03/04/2023,Same Day,CL-12565
US-2023-169061,03/05/2023,03/08/2023,Second Class,AB-10150
US-2023-169061,03/05/2023,03/08/2023,Second Class,AB-10150
US-2023-169061,03/05/2023,03/08/2023,Second Class,AB-10150
US-2023-169061,03/05/2023,03/08/2023,Second Class,AB-10150
US-2023-169061,03/05/2023,03/08/2023,Second Class,AB-10150
US-2023-104563,03/07/2023,03/12/2023,Standard Class,CM-12715
US-2023-156587,03/07/2023,03/08/2023,First Class,AB-10015
US-2023-104563,03/07/2023,03/12/2023,Standard Class,CM-12715
US-2023-104563,03/07/2023,03/12/2023,Standard Class,CM-12715
US-2023-156587,03/07/2023,03/08/2023,First Class,AB-10015
US-2023-131982,03/07/2023,03/11/2023,Second Class,NP-18685
US-2023-104563,03/07/2023,03/12/2023,Standard Class,CM-12715
US-2023-156587,03/07/2023,03/08/2023,First Class,AB-10015
US-2023-140116,03/10/2023,03/17/2023,Standard Class,KT-16480
US-2023-100279,03/10/2023,03/14/2023,Standard Class,SW-20275
US-2023-140116,03/10/2023,03/17/2023,Standard Class,KT-16480
US-2023-166884,03/11/2023,03/16/2023,Second Class,CK-12205
US-2023-114790,03/11/2023,03/13/2023,Second Class,FM-14215
US-2023-103338,03/11/2023,03/15/2023,Standard Class,RB-19435
US-2023-166884,03/11/2023,03/16/2023,Second Class,CK-12205
US-2023-114790,03/11/2023,03/13/2023,Second Class,FM-14215
US-2023-158337,03/11/2023,03/14/2023,Second Class,KA-16525
US-2023-114790,03/11/2023,03/13/2023,Second Class,FM-14215
US-2023-114790,03/11/2023,03/13/2023,Second Class,FM-14215
CA-2023-139675,03/13/2023,03/18/2023,Second Class,NF-18595
CA-2023-139675,03/13/2023,03/18/2023,Second Class,NF-18595
US-2023-125521,03/14/2023,03/19/2023,Standard Class,CK-12325
US-2023-157623,03/14/2023,03/18/2023,Standard Class,DK-13225
US-2023-114510,03/14/2023,03/19/2023,Standard Class,JF-15295
US-2023-114510,03/14/2023,03/19/2023,Standard Class,JF-15295
US-2023-100293,03/14/2023,03/18/2023,Standard Class,NF-18475
US-2023-157623,03/14/2023,03/18/2023,Standard Class,DK-13225
US-2023-152618,03/14/2023,03/17/2023,First Class,RB-19465
US-2023-114510,03/14/2023,03/19/2023,Standard Class,JF-15295
US-2023-114510,03/14/2023,03/19/2023,Standard Class,JF-15295
US-2023-114510,03/14/2023,03/19/2023,Standard Class,JF-15295
US-2023-152618,03/14/2023,03/17/2023,First Class,RB-19465
US-2023-149958,03/15/2023,03/19/2023,Standard Class,AS-10240
US-2023-149958,03/15/2023,03/19/2023,Standard Class,AS-10240
US-2023-149958,03/15/2023,03/19/2023,Standard Class,AS-10240
US-2023-149958,03/15/2023,03/19/2023,Standard Class,AS-10240
US-2023-149958,03/15/2023,03/19/2023,Standard Class,AS-10240
US-2023-157609,03/16/2023,03/21/2023,Second Class,KN-16705
US-2023-148838,03/17/2023,03/21/2023,Standard Class,CP-12340
US-2023-148838,03/17/2023,03/21/2023,Standard Class,CP-12340
US-2023-148838,03/17/2023,03/21/2023,Standard Class,CP-12340
US-2023-118339,03/17/2023,03/24/2023,Standard Class,BN-11515
US-2023-164763,03/17/2023,03/21/2023,Standard Class,MH-17440
US-2023-158442,03/17/2023,03/17/2023,Same Day,AZ-10750
US-2023-118339,03/17/2023,03/24/2023,Standard Class,BN-11515
US-2023-118339,03/17/2023,03/24/2023,Standard Class,BN-11515
US-2023-164763,03/17/2023,03/21/2023,Standard Class,MH-17440
US-2023-164763,03/17/2023,03/21/2023,Standard Class,MH-17440
US-2023-118339,03/17/2023,03/24/2023,Standard Class,BN-11515
US-2023-118339,03/17/2023,03/24/2023,Standard Class,BN-11515
US-2023-148838,03/17/2023,03/21/2023,Standard Class,CP-12340
US-2023-158442,03/17/2023,03/17/2023,Same Day,AZ-10750
US-2023-158442,03/17/2023,03/17/2023,Same Day,AZ-10750
US-2023-148838,03/17/2023,03/21/2023,Standard Class,CP-12340
US-2023-164763,03/17/2023,03/21/2023,Standard Class,MH-17440
US-2023-164763,03/17/2023,03/21/2023,Standard Class,MH-17440
US-2023-127859,03/17/2023,03/20/2023,Second Class,QJ-19255
US-2023-111871,03/18/2023,03/21/2023,Second Class,EK-13795
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-131275,03/18/2023,03/24/2023,Standard Class,SC-20050
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-131275,03/18/2023,03/24/2023,Standard Class,SC-20050
US-2023-131275,03/18/2023,03/24/2023,Standard Class,SC-20050
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-145317,03/18/2023,03/23/2023,Standard Class,SM-20320
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-103989,03/19/2023,03/21/2023,First Class,MC-17605
US-2023-155544,03/21/2023,03/25/2023,Standard Class,GM-14440
US-2023-155544,03/21/2023,03/25/2023,Standard Class,GM-14440
US-2023-163223,03/21/2023,03/25/2023,Standard Class,KH-16690
US-2023-140004,03/21/2023,03/25/2023,Standard Class,CB-12025
US-2023-140004,03/21/2023,03/25/2023,Standard Class,CB-12025
US-2023-163223,03/21/2023,03/25/2023,Standard Class,KH-16690
US-2023-163223,03/21/2023,03/25/2023,Standard Class,KH-16690
US-2023-155544,03/21/2023,03/25/2023,Standard Class,GM-14440
US-2023-163223,03/21/2023,03/25/2023,Standard Class,KH-16690
US-2023-107405,03/21/2023,03/25/2023,Standard Class,TS-21205
US-2023-163223,03/21/2023,03/25/2023,Standard Class,KH-16690
US-2023-148040,03/22/2023,03/26/2023,Standard Class,BF-11275
US-2023-129609,03/22/2023,03/22/2023,Same Day,VM-21835
US-2023-158057,03/22/2023,03/26/2023,Standard Class,CC-12685
US-2023-158057,03/22/2023,03/26/2023,Standard Class,CC-12685
US-2023-148040,03/22/2023,03/26/2023,Standard Class,BF-11275
US-2023-164749,03/23/2023,03/26/2023,First Class,BG-11740
US-2023-120838,03/23/2023,03/26/2023,Second Class,PO-18865
US-2023-120838,03/23/2023,03/26/2023,Second Class,PO-18865
US-2023-143637,03/24/2023,03/29/2023,Second Class,MS-17710
US-2023-147235,03/24/2023,03/28/2023,Standard Class,CD-11920
US-2023-148586,03/25/2023,04/01/2023,Standard Class,AZ-10750
US-2023-128237,03/25/2023,03/30/2023,Standard Class,CA-12265
US-2023-128237,03/25/2023,03/30/2023,Standard Class,CA-12265
US-2023-128237,03/25/2023,03/30/2023,Standard Class,CA-12265
US-2023-128237,03/25/2023,03/30/2023,Standard Class,CA-12265
US-2023-141838,03/26/2023,03/31/2023,Second Class,DK-12835
US-2023-141838,03/26/2023,03/31/2023,Second Class,DK-12835
US-2023-100860,03/26/2023,03/30/2023,Second Class,CS-12505
US-2023-138436,03/26/2023,03/30/2023,Standard Class,JD-15895
US-2023-141838,03/26/2023,03/31/2023,Second Class,DK-12835
US-2023-117380,03/28/2023,04/03/2023,Standard Class,MP-18175
US-2023-137869,03/28/2023,04/02/2023,Standard Class,CV-12295
US-2023-137869,03/28/2023,04/02/2023,Standard Class,CV-12295
US-2023-100881,03/28/2023,04/01/2023,Standard Class,DR-12940
US-2023-137274,03/29/2023,04/02/2023,Standard Class,MG-18145
US-2023-131247,03/30/2023,04/04/2023,Standard Class,GA-14725
US-2023-162089,03/30/2023,04/01/2023,First Class,MP-17470
US-2023-105151,03/30/2023,03/31/2023,First Class,SG-20890
US-2023-169033,03/30/2023,04/03/2023,Standard Class,KM-16720
US-2023-162089,03/30/2023,04/01/2023,First Class,MP-17470
US-2023-133424,03/30/2023,04/04/2023,Standard Class,Dl-13600
US-2023-113124,03/30/2023,04/05/2023,Standard Class,NC-18340
US-2023-133424,03/30/2023,04/04/2023,Standard Class,Dl-13600
US-2023-162089,03/30/2023,04/01/2023,First Class,MP-17470
US-2023-130428,03/31/2023,03/31/2023,Same Day,TG-21640
US-2023-128055,03/31/2023,04/05/2023,Standard Class,AA-10315
US-2023-130428,03/31/2023,03/31/2023,Same Day,TG-21640
US-2023-101770,03/31/2023,04/04/2023,Standard Class,KB-16240
US-2023-130428,03/31/2023,03/31/2023,Same Day,TG-21640
US-2023-104759,03/31/2023,04/04/2023,Standard Class,DD-13570
US-2023-112403,03/31/2023,03/31/2023,Same Day,JO-15280
US-2023-128055,03/31/2023,04/05/2023,Standard Class,AA-10315
US-2023-104759,03/31/2023,04/04/2023,Standard Class,DD-13570
US-2023-157021,04/01/2023,04/06/2023,Second Class,KM-16720
US-2023-138359,04/01/2023,04/06/2023,Standard Class,KH-16330
US-2023-157021,04/01/2023,04/06/2023,Second Class,KM-16720
US-2023-138359,04/01/2023,04/06/2023,Standard Class,KH-16330
US-2023-160276,04/02/2023,04/08/2023,Standard Class,AH-10690
US-2023-164315,04/02/2023,04/08/2023,Standard Class,RD-19585
US-2023-157847,04/02/2023,04/06/2023,Second Class,SC-20020
US-2023-157847,04/02/2023,04/06/2023,Second Class,SC-20020
US-2023-164315,04/02/2023,04/08/2023,Standard Class,RD-19585
US-2023-164315,04/02/2023,04/08/2023,Standard Class,RD-19585
US-2023-112291,04/03/2023,04/08/2023,Standard Class,KE-16420
US-2023-112291,04/03/2023,04/08/2023,Standard Class,KE-16420
US-2023-112291,04/03/2023,04/08/2023,Standard Class,KE-16420
US-2023-133228,04/04/2023,04/09/2023,Standard Class,MS-17710
US-2023-133228,04/04/2023,04/09/2023,Standard Class,MS-17710
US-2023-128685,04/04/2023,04/05/2023,First Class,MZ-17515
US-2023-105172,04/04/2023,04/09/2023,Standard Class,PK-18910
US-2023-149538,04/04/2023,04/08/2023,Standard Class,KB-16585
US-2023-149538,04/04/2023,04/08/2023,Standard Class,KB-16585
US-2023-149538,04/04/2023,04/08/2023,Standard Class,KB-16585
US-2023-149538,04/04/2023,04/08/2023,Standard Class,KB-16585
US-2023-102988,04/05/2023,04/09/2023,Second Class,GM-14695
US-2023-149104,04/05/2023,04/07/2023,Second Class,RD-19900
US-2023-149104,04/05/2023,04/07/2023,Second Class,RD-19900
US-2023-102988,04/05/2023,04/09/2023,Second Class,GM-14695
US-2023-157231,04/05/2023,04/09/2023,Standard Class,RP-19855
US-2023-149104,04/05/2023,04/07/2023,Second Class,RD-19900
US-2023-102988,04/05/2023,04/09/2023,Second Class,GM-14695
US-2023-113887,04/05/2023,04/07/2023,First Class,TH-21550
US-2023-149104,04/05/2023,04/07/2023,Second Class,RD-19900
US-2023-151001,04/05/2023,04/07/2023,First Class,JG-15805
US-2023-151001,04/05/2023,04/07/2023,First Class,JG-15805
US-2023-102988,04/05/2023,04/09/2023,Second Class,GM-14695
US-2023-102988,04/05/2023,04/09/2023,Second Class,GM-14695
US-2023-102652,04/06/2023,04/12/2023,Standard Class,AY-10555
US-2023-102652,04/06/2023,04/12/2023,Standard Class,AY-10555
US-2023-169803,04/06/2023,04/12/2023,Standard Class,SC-20260
US-2023-118486,04/06/2023,04/08/2023,First Class,SD-20485
US-2023-153808,04/06/2023,04/10/2023,Second Class,FH-14275
US-2023-153808,04/06/2023,04/10/2023,Second Class,FH-14275
US-2023-136742,04/06/2023,04/10/2023,Standard Class,GP-14740
US-2023-102652,04/06/2023,04/12/2023,Standard Class,AY-10555
US-2023-102652,04/06/2023,04/12/2023,Standard Class,AY-10555
US-2023-118486,04/06/2023,04/08/2023,First Class,SD-20485
US-2023-169803,04/06/2023,04/12/2023,Standard Class,SC-20260
US-2023-153808,04/06/2023,04/10/2023,Second Class,FH-14275
US-2023-118486,04/06/2023,04/08/2023,First Class,SD-20485
US-2023-124023,04/07/2023,04/10/2023,First Class,PJ-19015
US-2023-128846,04/07/2023,04/12/2023,Standard Class,RS-19765
US-2023-165806,04/07/2023,04/07/2023,Same Day,VM-21685
US-2023-128846,04/07/2023,04/12/2023,Standard Class,RS-19765
US-2023-165806,04/07/2023,04/07/2023,Same Day,VM-21685
US-2023-118997,04/08/2023,04/12/2023,Standard Class,RA-19885
US-2023-150581,04/08/2023,04/12/2023,Standard Class,NM-18445
US-2023-121769,04/08/2023,04/12/2023,Standard Class,JS-15880
US-2023-100363,04/08/2023,04/15/2023,Standard Class,JM-15655
US-2023-163797,04/08/2023,04/13/2023,Standard Class,PC-19000
US-2023-100363,04/08/2023,04/15/2023,Standard Class,JM-15655
US-2023-150581,04/08/2023,04/12/2023,Standard Class,NM-18445
US-2023-121734,04/11/2023,04/16/2023,Standard Class,SE-20110
US-2023-102715,04/11/2023,04/13/2023,Second Class,JK-15370
US-2023-102715,04/11/2023,04/13/2023,Second Class,JK-15370
US-2023-110555,04/11/2023,04/18/2023,Standard Class,MM-18055
US-2023-102715,04/11/2023,04/13/2023,Second Class,JK-15370
US-2023-102715,04/11/2023,04/13/2023,Second Class,JK-15370
US-2023-110555,04/11/2023,04/18/2023,Standard Class,MM-18055
US-2023-110555,04/11/2023,04/18/2023,Standard Class,MM-18055
US-2023-138940,04/11/2023,04/16/2023,Second Class,GM-14455
US-2023-154599,04/12/2023,04/17/2023,Standard Class,KN-16450
US-2023-142979,04/12/2023,04/18/2023,Standard Class,EH-13765
US-2023-154599,04/12/2023,04/17/2023,Standard Class,KN-16450
US-2023-158365,04/12/2023,04/17/2023,Standard Class,SV-20785
US-2023-154599,04/12/2023,04/17/2023,Standard Class,KN-16450
US-2023-154599,04/12/2023,04/17/2023,Standard Class,KN-16450
US-2023-122336,04/13/2023,04/17/2023,Second Class,JD-15895
US-2023-122336,04/13/2023,04/17/2023,Second Class,JD-15895
US-2023-122336,04/13/2023,04/17/2023,Second Class,JD-15895
US-2023-167724,04/13/2023,04/18/2023,Standard Class,BF-11170
US-2023-122336,04/13/2023,04/17/2023,Second Class,JD-15895
US-2023-120740,04/15/2023,04/15/2023,Same Day,PS-18970
US-2023-120740,04/15/2023,04/15/2023,Same Day,PS-18970
US-2023-155208,04/16/2023,04/20/2023,Standard Class,SP-20650
US-2023-100678,04/18/2023,04/22/2023,Standard Class,KM-16720
US-2023-110849,04/18/2023,04/23/2023,Standard Class,JL-15835
US-2023-100678,04/18/2023,04/22/2023,Standard Class,KM-16720
US-2023-110849,04/18/2023,04/23/2023,Standard Class,JL-15835
US-2023-100678,04/18/2023,04/22/2023,Standard Class,KM-16720
US-2023-110849,04/18/2023,04/23/2023,Standard Class,JL-15835
US-2023-100678,04/18/2023,04/22/2023,Standard Class,KM-16720
US-2023-110849,04/18/2023,04/23/2023,Standard Class,JL-15835
US-2023-169460,04/19/2023,04/21/2023,Second Class,NF-18595
US-2023-158470,04/19/2023,04/23/2023,Second Class,AG-10390
US-2023-158470,04/19/2023,04/23/2023,Second Class,AG-10390
US-2023-101462,04/20/2023,04/25/2023,Standard Class,BP-11230
US-2023-134572,04/20/2023,04/22/2023,Second Class,SV-20365
US-2023-134572,04/20/2023,04/22/2023,Second Class,SV-20365
US-2023-134572,04/20/2023,04/22/2023,Second Class,SV-20365
US-2023-158064,04/21/2023,04/25/2023,Standard Class,AA-10375
US-2023-136336,04/21/2023,04/26/2023,Standard Class,DB-13555
US-2023-122070,04/22/2023,04/24/2023,Second Class,AH-10030
US-2023-122070,04/22/2023,04/24/2023,Second Class,AH-10030
US-2023-150119,04/23/2023,04/27/2023,Standard Class,LB-16795
US-2023-150119,04/23/2023,04/27/2023,Standard Class,LB-16795
US-2023-150119,04/23/2023,04/27/2023,Standard Class,LB-16795
US-2023-150119,04/23/2023,04/27/2023,Standard Class,LB-16795
US-2023-112564,04/23/2023,04/24/2023,First Class,TS-21160
US-2023-111857,04/23/2023,04/26/2023,Second Class,NM-18445
US-2023-166954,04/25/2023,04/30/2023,Standard Class,BT-11305
US-2023-166954,04/25/2023,04/30/2023,Standard Class,BT-11305
US-2023-166954,04/25/2023,04/30/2023,Standard Class,BT-11305
US-2023-157406,04/25/2023,04/29/2023,Standard Class,DA-13450
US-2023-157406,04/25/2023,04/29/2023,Standard Class,DA-13450
US-2023-110100,04/25/2023,04/29/2023,Standard Class,LC-16885
US-2023-147298,04/26/2023,05/03/2023,Standard Class,AG-10300
US-2023-116785,04/26/2023,04/30/2023,Standard Class,MH-17290
US-2023-147298,04/26/2023,05/03/2023,Standard Class,AG-10300
US-2023-116785,04/26/2023,04/30/2023,Standard Class,MH-17290
US-2023-118976,04/28/2023,05/03/2023,Standard Class,MY-18295
US-2023-118976,04/28/2023,05/03/2023,Standard Class,MY-18295
US-2023-118976,04/28/2023,05/03/2023,Standard Class,MY-18295
US-2023-140228,04/28/2023,05/03/2023,Standard Class,GB-14530
US-2023-118976,04/28/2023,05/03/2023,Standard Class,MY-18295
US-2023-140228,04/28/2023,05/03/2023,Standard Class,GB-14530
US-2023-140228,04/28/2023,05/03/2023,Standard Class,GB-14530
US-2023-132983,04/28/2023,05/03/2023,Standard Class,DS-13180
